,seqlength,par1_size,par2_size,RF,F1,runtime
70,100,67,498,10,99.55673758865247,9.207316875457764
71,100,77,488,24,98.93617021276596,9.487707138061523
72,100,98,467,10,99.55673758865247,9.867342233657837
73,100,99,466,10,99.55673758865247,9.913933038711548
74,100,108,457,40,98.22695035460994,10.096414804458618
75,100,110,455,40,98.22695035460994,10.13669753074646
76,100,113,452,40,98.22695035460994,10.219466924667358
77,100,117,448,34,98.49290780141844,10.28727412223816
78,100,118,447,34,98.49290780141844,10.292696475982666
79,100,119,446,34,98.49290780141844,10.391983270645142
80,100,121,444,34,98.49290780141844,10.367730855941772
81,100,123,442,72,96.80851063829788,10.459856510162354
82,100,152,413,60,97.34042553191489,11.06406569480896
83,100,153,412,58,97.4290780141844,11.080432653427124
84,100,154,411,58,97.4290780141844,11.04323673248291
85,100,195,370,48,97.87234042553192,11.796784400939941
86,400,66,499,18,99.20212765957446,9.224852561950684
87,400,56,509,20,99.11347517730496,8.982532739639282
88,400,58,507,20,99.11347517730496,9.067133903503418
89,400,60,505,20,99.11347517730496,9.074512004852295
90,400,99,466,36,98.40425531914893,9.959124326705933
91,400,102,463,36,98.40425531914893,10.087624073028564
92,400,107,458,36,98.40425531914893,10.138088464736938
93,400,109,456,36,98.40425531914893,10.248127937316895
94,400,125,440,22,99.02482269503547,10.63147258758545
95,400,126,439,22,99.02482269503547,10.564393281936646
96,400,133,432,18,99.20212765957446,10.741357326507568
97,400,70,495,20,99.11347517730496,9.311612367630005
98,400,203,362,22,99.02482269503547,12.015392541885376
99,400,230,335,14,99.37943262411348,12.155143737792969
100,400,296,269,30,98.67021276595744,12.58276891708374
101,400,315,250,48,97.87234042553192,12.381068468093872
102,400,317,248,48,97.87234042553192,12.398714065551758
103,400,328,237,40,98.22695035460994,12.28500485420227
104,400,331,234,30,98.67021276595744,12.193428993225098
105,400,335,230,26,98.84751773049645,12.201939105987549
106,400,336,229,26,98.84751773049645,12.219217538833618
107,400,343,222,24,98.93617021276596,12.150225400924683
108,400,356,209,6,99.7340425531915,11.98669147491455
109,400,358,207,10,99.55673758865247,12.036030054092407
110,400,361,204,10,99.55673758865247,11.983253717422485
111,400,55,510,0,100.0,8.907304048538208
112,400,59,506,8,99.64539007092199,9.038849115371704
113,400,67,498,16,99.29078014184397,9.208584308624268
114,400,77,488,22,99.02482269503547,9.419474363327026
115,400,98,467,8,99.64539007092199,9.988253355026245
116,400,99,466,8,99.64539007092199,9.959326982498169
117,400,108,457,20,99.11347517730496,10.127306461334229
118,400,110,455,20,99.11347517730496,10.19221019744873
119,400,113,452,18,99.20212765957446,10.242362260818481
120,400,117,448,22,99.02482269503547,10.368281364440918
121,400,118,447,14,99.37943262411348,10.331760883331299
122,400,119,446,14,99.37943262411348,10.343106985092163
123,400,121,444,14,99.37943262411348,10.459751844406128
124,400,123,442,16,99.29078014184397,10.517220258712769
125,400,152,413,12,99.46808510638297,11.061491966247559
126,400,153,412,12,99.46808510638297,11.106676578521729
127,400,154,411,16,99.29078014184397,11.120082378387451
128,400,195,370,10,99.55673758865247,11.844598770141602
129,600,66,499,16,99.29078014184397,9.212878227233887
130,600,56,509,26,98.84751773049645,8.963144779205322
131,600,58,507,26,98.84751773049645,9.022008657455444
132,600,60,505,16,99.29078014184397,9.072732925415039
133,600,99,466,12,99.46808510638297,9.943558692932129
134,600,102,463,12,99.46808510638297,10.046801090240479
135,600,107,458,20,99.11347517730496,10.096565961837769
136,600,109,456,22,99.02482269503547,10.140704870223999
137,600,125,440,18,99.20212765957446,10.516443729400635
138,600,126,439,16,99.29078014184397,10.537840127944946
139,600,133,432,12,99.46808510638297,10.661785125732422
140,600,70,495,10,99.55673758865247,9.3446364402771
141,600,203,362,8,99.64539007092199,11.897980690002441
142,600,230,335,12,99.46808510638297,12.151155233383179
143,600,296,269,14,99.37943262411348,12.546468496322632
144,600,315,250,14,99.37943262411348,12.359900951385498
145,600,317,248,14,99.37943262411348,12.398565769195557
146,600,328,237,14,99.37943262411348,12.243683338165283
147,600,331,234,14,99.37943262411348,12.186091661453247
148,600,335,230,26,98.84751773049645,12.148582458496094
149,600,336,229,20,99.11347517730496,12.251832723617554
150,600,343,222,32,98.58156028368793,12.14134693145752
151,600,356,209,48,97.87234042553192,11.952879905700684
152,600,358,207,48,97.87234042553192,11.938032150268555
153,600,361,204,48,97.87234042553192,11.940569639205933
154,600,55,510,4,99.82269503546101,8.914942026138306
155,600,59,506,4,99.82269503546101,8.981827735900879
156,600,67,498,4,99.82269503546101,9.179016590118408
157,600,77,488,14,99.37943262411348,9.411681175231934
158,600,98,467,10,99.55673758865247,9.868425369262695
159,600,99,466,10,99.55673758865247,9.903010845184326
160,600,108,457,12,99.46808510638297,10.11521577835083
161,600,110,455,22,99.02482269503547,10.171185970306396
162,600,113,452,22,99.02482269503547,10.198619842529297
163,600,117,448,30,98.67021276595744,10.3278968334198
164,600,118,447,12,99.46808510638297,10.27234411239624
165,600,119,446,12,99.46808510638297,10.301520824432373
166,600,121,444,22,99.02482269503547,10.363778352737427
167,600,123,442,24,98.93617021276596,10.405850172042847
168,600,152,413,24,98.93617021276596,11.055908679962158
169,600,153,412,24,98.93617021276596,11.080386877059937
170,600,154,411,28,98.75886524822694,11.100687026977539
171,600,195,370,8,99.64539007092199,11.803792715072632
172,800,66,499,30,98.67021276595744,9.23564076423645
173,800,56,509,22,99.02482269503547,9.011263847351074
174,800,58,507,18,99.20212765957446,9.040099620819092
175,800,60,505,22,99.02482269503547,9.136045694351196
176,800,99,466,16,99.29078014184397,10.000181436538696
177,800,102,463,16,99.29078014184397,10.086337327957153
178,800,107,458,16,99.29078014184397,10.140911340713501
179,800,109,456,16,99.29078014184397,10.224505424499512
180,800,125,440,14,99.37943262411348,10.603518962860107
181,800,126,439,28,98.75886524822694,10.6071617603302
182,800,133,432,22,99.02482269503547,10.760854482650757
183,800,70,495,6,99.7340425531915,9.359625339508057
184,800,203,362,26,98.84751773049645,11.988662958145142
185,800,230,335,20,99.11347517730496,12.264552354812622
186,800,296,269,8,99.64539007092199,12.613173007965088
187,800,315,250,4,99.82269503546101,12.433308601379395
188,800,317,248,8,99.64539007092199,12.44282341003418
189,800,328,237,28,98.75886524822694,12.394562005996704
190,800,331,234,24,98.93617021276596,12.310278415679932
191,800,335,230,22,99.02482269503547,12.293285846710205
192,800,336,229,20,99.11347517730496,12.273149013519287
193,800,343,222,20,99.11347517730496,12.247715473175049
194,800,356,209,42,98.13829787234043,11.999107360839844
195,800,358,207,42,98.13829787234043,11.98084545135498
196,800,361,204,42,98.13829787234043,12.058636665344238
197,800,55,510,16,99.29078014184397,8.960028648376465
198,800,59,506,12,99.46808510638297,9.075761318206787
199,800,67,498,8,99.64539007092199,9.223987340927124
200,800,77,488,20,99.11347517730496,9.453719139099121
201,800,98,467,8,99.64539007092199,9.924967288970947
202,800,99,466,8,99.64539007092199,9.94674801826477
203,800,108,457,16,99.29078014184397,10.152950763702393
204,800,110,455,16,99.29078014184397,10.20767855644226
205,800,113,452,14,99.37943262411348,10.295007944107056
206,800,117,448,14,99.37943262411348,10.386331796646118
207,800,118,447,38,98.31560283687944,10.395502805709839
208,800,119,446,38,98.31560283687944,10.364461421966553
209,800,121,444,34,98.49290780141844,10.518035173416138
210,800,123,442,32,98.58156028368793,10.510476350784302
211,800,152,413,26,98.84751773049645,11.127806901931763
212,800,153,412,26,98.84751773049645,11.223792791366577
213,800,154,411,26,98.84751773049645,11.258874654769897
214,800,195,370,46,97.96099290780141,11.88209843635559
215,1000,66,499,22,99.02482269503547,9.229496955871582
216,1000,56,509,18,99.20212765957446,9.050183773040771
217,1000,58,507,16,99.29078014184397,9.076317548751831
218,1000,60,505,16,99.29078014184397,9.093965768814087
219,1000,99,466,8,99.64539007092199,9.985736608505249
220,1000,102,463,4,99.82269503546101,10.163478136062622
221,1000,107,458,12,99.46808510638297,10.150636434555054
222,1000,109,456,44,98.04964539007094,10.25987720489502
223,1000,125,440,14,99.37943262411348,10.611281633377075
224,1000,126,439,12,99.46808510638297,10.547449111938477
225,1000,133,432,12,99.46808510638297,10.759987592697144
226,1000,70,495,20,99.11347517730496,9.360229730606079
227,1000,203,362,24,98.93617021276596,11.961988687515259
228,1000,230,335,20,99.11347517730496,12.256503105163574
229,1000,296,269,12,99.46808510638297,12.528034687042236
230,1000,315,250,14,99.37943262411348,12.426541328430176
231,1000,317,248,14,99.37943262411348,12.456261157989502
232,1000,328,237,14,99.37943262411348,12.31539273262024
233,1000,331,234,14,99.37943262411348,12.245528936386108
234,1000,335,230,14,99.37943262411348,12.317082166671753
235,1000,336,229,18,99.20212765957446,12.197731971740723
236,1000,343,222,44,98.04964539007094,12.208125829696655
237,1000,356,209,42,98.13829787234043,11.992840766906738
238,1000,358,207,40,98.22695035460994,11.950924634933472
239,1000,361,204,8,99.64539007092199,12.134093284606934
240,1000,55,510,4,99.82269503546101,8.946734428405762
241,1000,59,506,4,99.82269503546101,9.045236110687256
242,1000,67,498,14,99.37943262411348,9.273868560791016
243,1000,77,488,20,99.11347517730496,9.458674192428589
244,1000,98,467,10,99.55673758865247,9.930619239807129
245,1000,99,466,10,99.55673758865247,9.951219081878662
246,1000,108,457,6,99.7340425531915,10.108583450317383
247,1000,110,455,4,99.82269503546101,10.15156888961792
248,1000,113,452,6,99.7340425531915,10.297818422317505
249,1000,117,448,12,99.46808510638297,10.302003145217896
250,1000,118,447,4,99.82269503546101,10.372065544128418
251,1000,119,446,4,99.82269503546101,10.31981873512268
252,1000,121,444,28,98.75886524822694,10.402806043624878
253,1000,123,442,24,98.93617021276596,10.499300003051758
254,1000,152,413,14,99.37943262411348,11.195585250854492
255,1000,153,412,14,99.37943262411348,11.107388019561768
256,1000,154,411,14,99.37943262411348,11.201714515686035
257,1000,195,370,6,99.7340425531915,11.849278688430786
